State;Binding;RPS;Establ;Target_year;
AL;0;0;;;
AZ;1;1;2006;2025;
AR;0;0;;;
CA;1;1;2002;2024;
CO;1;1;2004;2020;
CT;1;1;1998;2030;
DE;1;1;2005;2021;
FL;1;0;;;
GA;0;0;;;
ID;0;0;;;
IL;1;1;2007;2040;
IN;0;1;;;voluntary clean energy portfolio standard
IA;0;1;;;alternative energy law
KS;1;1;2009;2015;voluntary
KY;0;0;;;
LA;0;0;;;
ME;1;1;1999;2030;
MD;1;1;2004;2020;
MA;1;1;1997;2030;
MI;1;1;2008;2021;
MN;1;1;2007;2035;
MS;0;0;;;
MO;1;1;2007;2021;
MT;1;1;2005;;repealed
NE;0;0;;;
NV;1;1;1997;2030;
NH;1;1;2007;2025;
NJ;1;1;1991;2030;
NM;1;1;2002;2025;
NY;1;1;2004;2030;
NC;1;1;2007;2021;
ND;0;0;2007;2015;voluntary
OH;1;1;2008;2026;
OK;0;0;2010;2015;
OR;1;1;2007;2021;
PA;1;1;2004;2020;
RI;1;1;2004;2033;
SC;0;0;;;
SD;0;0;;;
TN;0;0;;;
TX;1;1;1999;2015;
UT;0;0;2008;2025;
VT;1;1;2005;2017;
VA;0;1;2020;;
WA;1;1;2006;;
WV;0;0;;;repealed
WI;1;1;1998;2015;
WY;0;0;;;
