"State" "fracking2009" "fracking2012" "fracking2014"
"1" "AL" 0 1 1
"2" "AR" 0 0 0
"3" "AZ" 1 1 1
"4" "CA" 0 0 0
"5" "CO" 0 0 0
"6" "CT" 0 1 1
"7" "DE" 0 0 1
"8" "FL" 1 1 1
"9" "GA" 0 0 0
"10" "IA" 0 0 0
"11" "ID" 0 0 0
"12" "IL" 0 0 0
"13" "IN" 0 0 0
"14" "KS" 0 0 0
"15" "KY" 0 0 0
"16" "LA" 0 0 0
"17" "MA" 0 0 0
"18" "MD" 0 0 0
"19" "ME" 1 1 1
"20" "MI" 0 0 0
"21" "MN" 0 0 0
"22" "MO" 0 0 0
"23" "MS" 0 0 0
"24" "MT" 0 0 0
"25" "NC" 0 0 0
"26" "ND" 0 0 1
"27" "NE" 0 0 0
"28" "NH" 1 1 1
"29" "NJ" 0 0 0
"30" "NM" 0 0 0
"31" "NV" 1 1 1
"32" "NY" 0 0 0
"33" "OH" 0 0 0
"34" "OK" 0 0 0
"35" "OR" 0 0 0
"36" "PA" 0 0 1
"37" "RI" 0 0 0
"38" "SC" 1 1 1
"39" "SD" 1 1 1
"40" "TN" 0 0 0
"41" "TX" 0 0 0
"42" "UT" 0 0 1
"43" "VA" 0 0 1
"44" "VT" 0 0 0
"45" "WA" 0 0 0
"46" "WI" 0 0 0
"47" "WV" 0 0 0
"48" "WY" 0 1 1
